source,symbol,bullish_intensity,bearish_intensity,bull_minus_bear,bull_scored_messages,bear_scored_messages,bull_bear_msg_ratio,total_scanned_messages,sid,asof_date
stocktwits,AAPL,1.67,1.83,-0.16,20,19,1.05,79,24,2010/4/1
stocktwits,AAPL,1.94,2.2,-0.26,4,1,4,15,24,2010/4/2
stocktwits,AAPL,1.5,2.58,-1.08,2,2,1,21,24,2010/4/3
stocktwits,AAPL,1.69,3.11,-1.42,4,1,4,17,24,2010/4/4
stocktwits,AAPL,1.98,1.9,0.08,24,28,0.86,115,24,2010/4/5
stocktwits,AAPL,1.93,1.65,0.28,20,10,2,64,24,2010/4/6
stocktwits,AAPL,1.46,1.33,0.13,13,7,1.86,35,24,2010/4/7
stocktwits,AAPL,1.83,1.61,0.22,23,20,1.15,97,24,2010/4/8
stocktwits,AAPL,1.41,1.58,-0.17,21,6,3.5,70,24,2010/4/9
stocktwits,AAPL,3.38,2.8,0.58,1,1,1,5,24,2010/4/10
stocktwits,AAPL,2.53,0.05,2.48,3,1,3,13,24,2010/4/11
stocktwits,AAPL,1.91,1.6,0.31,5,3,1.67,28,24,2010/4/12
stocktwits,AAPL,1.97,1.92,0.05,10,4,2.5,34,24,2010/4/13
stocktwits,AAPL,1.96,2.18,-0.22,17,6,2.83,45,24,2010/4/14
stocktwits,AAPL,1.67,2.38,-0.71,8,6,1.33,30,24,2010/4/15
stocktwits,AAPL,1.51,2.01,-0.5,12,11,1.09,66,24,2010/4/16
stocktwits,AAPL,0,0,0,0,0,0,6,24,2010/4/17
stocktwits,AAPL,1.33,0,1.33,1,0,0,5,24,2010/4/18
stocktwits,AAPL,1.52,2.12,-0.6,11,16,0.69,68,24,2010/4/19
stocktwits,AAPL,1.68,2.09,-0.41,52,44,1.18,280,24,2010/4/20
stocktwits,AAPL,2.02,1.88,0.14,25,16,1.56,85,24,2010/4/21
